"task","model","weight_wall","day","run","latency","wall_zone","target_quadrant"
"fixed","place",NA,5,17,22.8267831149963,12.2601497601498,32.8805660488829
"fixed","place",NA,6,17,26.3788764115799,10.4436775472849,51.4293761384234
"fixed","place",NA,7,17,12.1680040327904,11.4531295915369,23.7861200901166
"fixed","place",NA,8,17,14.9901720741262,11.446436919789,52.8486733636886
"fixed","place",NA,1,18,38.4267983512038,14.1750700049448,31.9728244745365
"fixed","place",NA,2,18,40.657252456996,8.64896380957864,13.2942502893822
"fixed","place",NA,3,18,13.3531480770302,18.7335778672804,48.6827132080297
"fixed","place",NA,4,18,10.9783792259929,4.25925925925926,28.8780176938072
"fixed","place",NA,5,18,44.8022763978945,25.4054490764041,49.001904326664
"fixed","place",NA,6,18,11.1425773575058,16.0714285714286,33.34017515052
"fixed","place",NA,7,18,5.60190659165045,0,36.1369047619048
"fixed","place",NA,8,18,12.5216244172571,0,48.8681613302107
"fixed","place",NA,1,19,28.6114284745743,21.6644498993471,23.0546980859289
"fixed","place",NA,2,19,23.2200662834603,18.7632499470002,27.0617853591017
"fixed","place",NA,3,19,17.4091809233684,7.10261194029851,43.3880196410585
"fixed","place",NA,4,19,19.3364246745773,27.132821407015,34.3466232982362
"fixed","place",NA,5,19,17.9448719989309,18.8087379755952,41.2786680939057
"fixed","place",NA,6,19,8.41122657198025,2.90697674418605,33.12523071244
"fixed","place",NA,7,19,6.63712292040285,13.5964912280702,49.255995940909
"fixed","place",NA,8,19,5.50985725161268,13.099128540305,50.9176375864355
"fixed","place",NA,1,20,36.5869318403029,22.2509884402449,33.9308367113269
"fixed","place",NA,2,20,25.373773439116,24.1963953920476,23.5097396143908
"fixed","place",NA,3,20,34.770971684461,17.0541645936576,30.6557068896772
"fixed","place",NA,4,20,38.5358247168876,14.8219980848256,24.1804323818516
"fixed","place",NA,5,20,34.0249038475737,16.8008562813401,46.899229105406
"fixed","place",NA,6,20,28.2253181980157,16.8170583533602,47.01274389895
"fixed","place",NA,7,20,39.4661260651751,17.2693907599664,51.4523438007991
"fixed","place",NA,8,20,32.6539384960725,22.6205878780406,35.8997995509885
"fixed","place",NA,1,21,32.9380677674276,26.2041011789824,17.9127820340827
"fixed","place",NA,2,21,31.5147483389769,13.7134270464128,28.3178974146566
"fixed","place",NA,3,21,36.5519364364849,11.5981012619959,43.7898774225214
"fixed","place",NA,4,21,24.2264157882807,18.1260676288216,27.7257516555252
"fixed","place",NA,5,21,12.2587452699917,5.64024390243902,35.2066395663957
"fixed","place",NA,6,21,5.73197860737062,11.3408521303258,34.9584254754533
"fixed","place",NA,7,21,60.1212821717043,7.8620184685168,45.6768395671266
"fixed","place",NA,8,21,8.71507146268857,10.7668067226891,53.5632915137886
"fixed","place",NA,1,22,30.7963307742044,24.9497757262195,17.7482021313678
"fixed","place",NA,2,22,35.4476412870249,11.1376826795329,48.2304425441248
"fixed","place",NA,3,22,42.1572744497185,12.4870064035082,19.0526036804921
"fixed","place",NA,4,22,12.1758498473398,15.2783090286079,30.0454646357706
"fixed","place",NA,5,22,14.6651719434438,29.0893183201461,33.3599614526273
"fixed","place",NA,6,22,13.7062134926827,14.2122235872236,41.167327766904
"fixed","place",NA,7,22,10.4368079239553,1.55038759689922,49.4299203241842
"fixed","place",NA,8,22,10.2697388004656,2.73109243697479,39.4547391606215
"fixed","place",NA,1,23,50.1155329049568,15.2168072919033,14.4026277677203
"fixed","place",NA,2,23,60.1708441438359,12.5698257299307,25.262950509395
"fixed","place",NA,3,23,36.1592901413783,9.93188845124143,14.1393919409367
"fixed","place",NA,4,23,45.5772179409367,15.7590663597874,52.0365582911285
"fixed","place",NA,5,23,34.301330210781,24.0474099169751,36.2316226446661
"fixed","place",NA,6,23,35.8293610272775,18.6853735778954,45.8063674940142
"fixed","place",NA,7,23,39.1071425225102,9.56018714494072,31.0309110986378
"fixed","place",NA,8,23,21.9617124724217,12.7379362163967,25.1049202218521
"fixed","place",NA,1,24,60.1234289767925,20.7402191111692,5.00761911386803
"fixed","place",NA,2,24,44.9899110023816,18.7376723788302,29.5191557952638
"fixed","place",NA,3,24,38.9957764812709,20.2476137060225,32.1928273541517
"fixed","place",NA,4,24,16.9030871494284,6.33916898766555,56.3681814736922
"fixed","place",NA,5,24,51.7032516609232,17.0987013514715,58.2074513614733
"fixed","place",NA,6,24,42.6229462145083,21.3389365959885,28.0253900734479
"fixed","place",NA,7,24,60.2426305859318,16.9824761997438,49.4306082648113
"fixed","place",NA,8,24,36.4390153912652,18.6787568408966,26.8115913470868
"fixed","place",NA,1,25,44.213588050746,28.7886592660163,16.9573091678065
"fixed","place",NA,2,25,22.9437415603537,14.5814375865784,38.23523828494
"fixed","place",NA,3,25,20.9489662198681,5.28775738778323,63.2069702396337
"fixed","place",NA,4,25,17.0276760120677,19.78668261563,22.7385699096225
"fixed","place",NA,5,25,20.4406857513886,5.61273193723525,51.2639747847061
